regulator,Nb_of_Metabolite,List_of_Metabolites
PurR,41,Glycolaldehyde;Dihydroorotate;N-Carbamoyl-aspartate;Deoxyribose-P;Isopentenyl diphosphate / Dimethylallyl diphosphate;Proline;Glutamine;Lysine;Glutamic acid;Diaminopimelic acid;Adenosine;Hypoxanthine;N-Acetyl-Glutamic acid;D-Pantothenic acid;N2-Succinyl-glutamate;gamma-Glutamyl-cysteine;5-Amino-1-(5-phospho-D-ribosyl)imidazole;Dihydropteroate;Xanthosine 5-P;Riboflavin;Fumarate;UDP;NADH;NADPH;Citrulline;Argininosuccinic acid;CMP;UMP;AMP;ADP;CTP;UTP;ATP;GTP;Coenzyme A;N-Acetyl-Ornithine;3-Phosphoserine;Pyridoxamine 5-Phosphate;Inosine diphosphate;5-Methyltetrahydrofolic acid;Adenylosuccinic acid
PutA,NA,NA
PuuR,7,Glutamine;Glutamic acid;Arginine;N-Acetyl-Glutamic acid;5-Methylthioadenosine;GABA;N-Acetyl-Ornithine
QseB,NA,NA
RbsR,4,Xanthosine;dCMP;CMP;CTP
RcdA,NA,NA
RclR,NA,NA
RcnR,NA,NA
RcsAB,NA,NA
RcsB,NA,NA
RcsB-BglJ,NA,NA
RelB,NA,NA
RhaR,NA,NA
RhaS,NA,NA
Rob,NA,NA
RstA,NA,NA
RtcR,NA,NA
RutR,5,Guanine;N2-Succinyl-glutamate;UDP;cAMP;ADP
SdiA,NA,NA
SgrR,1,Glutamic acid
FecI,NA,NA
RpoE,NA,NA
RpoB,NA,NA
RpoH,NA,NA
RpoS,NA,NA
RpoN,NA,NA
RpoD,NA,NA
SlyA,NA,NA
SoxR,1,Tryptophan
SoxS,NA,NA
StpA,NA,NA
SutR,NA,NA
TdcA,NA,NA
Thr.Att,NA,NA
TorR,NA,NA
TreR,NA,NA
Trp.Att,NA,NA
TrpR,5,Glutamine;Glutamic acid;Tryptophan;Tyrosine;ATP
TtdR,NA,NA
TyrR,NA,NA
UhpA,NA,NA
UidR,NA,NA
UlaR,NA,NA
UTP.Att,NA,NA
UvrY,NA,NA
UxuR,NA,NA
Val.Att,NA,NA
XapR,NA,NA
XylR,1,gamma-Glutamyl-cysteine
YdeO,1,Deoxyribose-P
YefM,NA,NA
YeiL,NA,NA
YhaJ,NA,NA
PlaR,NA,NA
YjjQ,NA,NA
PyrR,NA,NA
YqhC,NA,NA
NfeR,NA,NA
ZntR,NA,NA
ZraR,NA,NA
Zur,NA,NA
RNAP,NA,NA
BtsR,NA,NA
