Bnb,MEANenv,Venv,SDenv,Essentiality,GlobalEssentiality,RMenv,SSenv,DMenv
b2392,6.019451765257751,2.0526166397543557,1.4326955851660728,Nonessential,Nonessential,0.7224263296202208,0.735726815506479,0.6969687696595938
b0239,6.020001244000982,0.18722828449599624,0.43269883810335824,Nonessential,Nonessential,0.7609529649836788,0.7356855629720785,-0.3029867248687203
b0947,6.020407275068013,0.1931412097754678,0.43947833823235,Nonessential,Nonessential,0.7224263296202208,0.7356551051292166,-0.2961767668968666
b1766,6.021079374733367,0.21683812431916477,0.46565880676646154,Nonessential,Nonessential,0.7609529649836788,0.7356047357189036,-0.26994592895244207
b0468,6.021647036688467,0.7911985807513191,0.889493440533048,Nonessential,Nonessential,0.7108963849386712,0.7355622390872633,0.15393120144578476
b4168,6.0219891135764,0.1674982376311208,0.4092654855116918,Essential,Nonessential,0.7108963849386712,0.7355366506283384,-0.3262711651166466
b1238,6.022064154875047,0.647849202070218,0.804890801332838,Nonessential,Nonessential,0.6950226548384165,0.7355310393384152,0.06935976199442273
b0493,6.0225922459597205,0.14194871176466772,0.37676081505998965,Nonessential,Nonessential,0.6950226548384165,0.7354915715763639,-0.35873075651637426
b2622,6.02363257299316,0.18446387212563184,0.4294925751693873,Nonessential,Nonessential,0.6950226548384165,0.7354139275888811,-0.3059213524194938
b3752,6.023912290756228,0.7809731727339445,0.8837268654589745,Nonessential,Nonessential,0.6950226548384165,0.735393075211578,0.14833379024739646
b0336,6.0239640438737405,4.1772755542207065,2.043838436428062,Nonessential,Nonessential,0.6950226548384165,0.7353892182464076,1.3084492181816545
b2423,6.0246352855651235,4.64754315710154,2.1558161232121678,Nonessential,Nonessential,0.6957449257733492,0.7353392248853069,1.4204768983268607
b2861,6.024969049708167,0.28920807463519255,0.5377806938103975,Nonessential,Nonessential,0.6957449257733492,0.7353143884501212,-0.1975336946397237
b1326,6.025080458113656,0.4830564907386407,0.6950226548384165,Nonessential,Nonessential,0.6957449257733492,0.7353061014502364,-0.04028344661181993
b2318,6.030172520904121,0.7588535288394493,0.8711219942347049,Nonessential,Nonessential,0.6957449257733492,0.7349290710023445,0.13619292323236043
b2946,6.032426792637627,0.13455750373084582,0.3668208060222945,Nonessential,Nonessential,0.6957449257733492,0.7347632459178784,-0.36794243989558395
b4022,6.034351018719643,0.16566044611140324,0.40701406131902035,Nonessential,Nonessential,0.6957449257733492,0.7346222280101758,-0.3276081666911555
b4518,6.035029712756901,4.285485639342211,2.0701414539451672,Nonessential,Nonessential,0.6957449257733492,0.7345726058773568,1.3355688480678105
b2259,6.035346156149119,0.5790494149174519,0.7609529649836788,Nonessential,Nonessential,0.6950226548384165,0.7345494901347315,0.02640347484894734
b1807,6.0355931023004645,0.6265731550537341,0.7915637403606447,Essential,Nonessential,0.6720743724011109,0.7345314602346618,0.05703228012598294
b3468,6.037229737999214,0.34344090762603763,0.5860383158344151,Nonessential,Nonessential,0.6673859086179889,0.7344121702774286,-0.14837385444301343
b1461,6.038119178839569,0.9395186098014152,0.969287681651539,Nonessential,Nonessential,0.6664776636670585,0.7343474895202904,0.23494019213124862
b4371,6.0417030407510754,0.4516839620383471,0.6720743724011109,Nonessential,Nonessential,0.6664776636670585,0.734087927152801,-0.062013554751690125
b4512,6.042459173456912,1.9066067312716228,1.3807993088322512,Nonessential,Nonessential,0.6673859086179889,0.7340333808916742,0.646765927940577
b1867,6.042850078064606,0.3874713066676739,0.6224719324336431,Nonessential,Nonessential,0.6720743724011109,0.7340052112909562,-0.11153327885731312
b1076,6.047615357515522,9.476376209242748,3.078372331158586,Nonessential,Nonessential,0.6673859086179889,0.7336634401211339,2.3447088910374525
b3424,6.047888836245433,0.4116003666524301,0.6415608830441817,Nonessential,Nonessential,0.6673859086179889,0.7336439172739962,-0.09208303422981456
b2796,6.048744735506066,3.1995050807405936,1.7887160425122244,Nonessential,Nonessential,0.6673859086179889,0.7335828812807642,1.0551331612314603
b2961,6.049285506151245,0.2766602080432752,0.5259849884200833,Nonessential,Nonessential,0.6673859086179889,0.7335443679197385,-0.2075593794996552
b0524,6.052175669101761,0.48406100173936323,0.6957449257733492,Essential,Essential,0.6673859086179889,0.7333391910801169,-0.03759426530676768
b0763,6.053780341837084,1.6010021470246434,1.2653071354515644,Nonessential,Nonessential,0.6673859086179889,0.7332257527240594,0.5320813827275049
b3526,6.053798601363798,0.8519619001485851,0.923017822226952,Nonessential,Nonessential,0.6664776636670585,0.7332244638845872,0.18979335834236477
b3823,6.0539014753054,0.416363172544198,0.6452620960076595,Nonessential,Nonessential,0.6664776636670585,0.7332172034090765,-0.08795510740141699
b2781,6.054515903806707,0.32534893693262945,0.5703936683840639,Nonessential,Nonessential,0.6673859086179889,0.733173868587811,-0.16278020020374706
b3417,6.056062425409745,1.4553759506083532,1.2063896346572085,Nonessential,Nonessential,0.6673859086179889,0.7330650169930532,0.47332461766415534
b2510,6.056725109732912,0.44399339368158214,0.666328292721825,Nonessential,Nonessential,0.6673859086179889,0.7330184714859952,-0.06669017876417016
b2611,6.0584866024891095,0.16692219053772459,0.408561122156434,Nonessential,Nonessential,0.6720743724011109,0.7328950317348958,-0.3243339095784618
b2565,6.058840287796468,0.36779598476605474,0.60646185763496685,Nonessential,Nonessential,0.6957449257733492,0.732870296255622,-0.1264084386206551
b3621,6.060153201263488,0.44419247616710084,0.6664776636670585,Nonessential,Nonessential,0.6720743724011109,0.7327786208549572,-0.06630095718789863
b0214,6.0617565428097056,0.30785000227836135,0.554842321996404,Nonessential,Nonessential,0.6720743724011109,0.7326669756503316,-0.17782465365392752
b3293,6.063293920655821,0.44540395102185854,0.6673859086179889,Nonessential,Nonessential,0.6720743724011109,0.7325602429127402,-0.06517433429475139
b2563,6.064680732540028,0.22815409820862426,0.4776547897892622,Essential,Nonessential,0.6957449257733492,0.7324642309368058,-0.2548094411475436
b2700,6.06611599589897,0.21200720766158518,0.4604424042826477,Nonessential,Nonessential,0.6720743724011109,0.732365131528377,-0.2719227272457293
b3893,6.066317284766483,3.609122468043567,1.8997690565022811,Nonessential,Nonessential,0.6957449257733492,0.7323512549968356,1.1674178015054455
b1680,6.067955535184213,2.51873336369649,1.5870517835585862,Nonessential,Nonessential,0.6957449257733492,0.7322385148402522,0.8548132687183341
b3826,6.0681773168052935,0.12858081440623667,0.3585816704828018,Nonessential,Nonessential,0.6957449257733492,0.7322232795137658,-0.37364160903096394
b1117,6.068563457982463,0.30096968049899336,0.5486070365015321,Essential,Essential,0.6957449257733492,0.7321967688948541,-0.183589732393322
b1837,6.069840419945238,0.9089684839722225,0.9533983868101636,Nonessential,Nonessential,0.7359339937738394,0.7321092381242938,0.2212891486858698
b0424,6.0706416653506485,0.2508142476983491,0.5008135857765333,Nonessential,Nonessential,0.7359339937738394,0.73205442505576,-0.23124083927922667
b0006,6.0718300194987895,0.205166195005797,0.4529527514054827,Nonessential,Nonessential,0.8223341078450055,0.7319732847951995,-0.27902053338971683
b4382,6.071908108302162,0.8819493837227143,0.9391216022021399,Nonessential,Nonessential,0.8223341078450055,0.7319679594010733,0.20715364280106663
b4389,6.072104956798288,0.2847369317569627,0.5336074697349754,Nonessential,Nonessential,0.799348446920581,0.731954538535088,-0.19834706880011255
b3628,6.072206009282376,0.6762333849252411,0.8223341078450055,Nonessential,Nonessential,0.799348446920581,0.7319476508814682,0.09038645696353731
b0948,6.0732549087891785,0.5415988431919134,0.7359339937738394,Nonessential,Nonessential,0.799348446920581,0.7318762376150709,0.004057756158768466
