Bnb,Mean_log_gfp,SD_log_gfp,Mean_gfp,SD_gfp,Noise,PromoterEssentiality,TU_containing_EssentialGenes
b0477,1.261,0.1329574,19.054749999999999,6.0064909999999996,-0.010675570000000001,nonessential,NA
b0478,1.215,0.1463404,17.365259999999999,5.8625540000000003,-0.0022974029999999999,nonessential,NA
b0479,0.56,0.1962594,4.008273,1.730054,-0.01342613,nonessential,NA
b0480,0.941,0.159524,9.2859970000000001,3.1891210000000001,-0.013313409999999999,nonessential,NA
b0481,0.593,0.1934727,4.3121590000000003,1.843469,-0.01851829,nonessential,NA
b0482,0.3302256,0.1709513,NA,NA,NA,nonessential,NA
b0483,0.723,0.1774508,5.7169179999999997,2.1462870000000001,-0.02848463,nonessential,NA
b0486,0.505,0.2001305,3.5258530000000001,1.6057060000000001,-0.00074414809999999996,nonessential,NA
b0487,1.027,0.1450268,11.321569999999999,3.6771029999999998,-0.017691189999999999,nonessential,NA
b0489,1.663,0.1173376,47.992510000000003,13.333399999999999,-0.0085995169999999992,nonessential,NA
b0490,0.535,0.1972728,3.777752,1.616276,-0.01023409,nonessential,NA
b0494,0.918,0.1726418,8.9607700000000001,3.4904890000000002,-0.0024654400000000002,nonessential,NA
b0495,0.457,0.1888618,3.1401330000000001,1.3302339999999999,-0.01302589,nonessential,NA
b0497,0.3237549,0.1728015,NA,NA,NA,nonessential,NA
b0498,0.418,0.1905287,2.875534,1.266923,0.0058490620000000004,nonessential,NA
b0501,0.728,0.2029377,5.9523970000000004,2.677562,0.0080434870000000002,nonessential,NA
b0502,0.696,0.191686,5.4277639999999998,2.2119369999999998,-0.011219700000000001,nonessential,NA
b0503,0.428,0.1912092,2.9373640000000001,1.298184,0.0014690020000000001,nonessential,NA
b0504,1.432,0.1382943,28.311669999999999,9.3797350000000002,-0.001081484,nonessential,NA
b0505,0.465,0.1921502,3.1872630000000002,1.399,-0.0086892689999999995,nonessential,NA
b0506,1.163,0.1381547,15.3222,5.0015200000000002,-0.011966849999999999,nonessential,NA
b0507,0.3004578,0.1605296,NA,NA,NA,nonessential,NA
b0514,0.369,0.1788614,2.5367890000000002,1.072568,0.0030861370000000001,nonessential,NA
b0517,0.3071068,0.1629198,NA,NA,NA,nonessential,NA
b0518,0.3073745,0.1638368,NA,NA,NA,nonessential,NA
b0519,0.3552936,0.1782043,NA,NA,NA,nonessential,NA
b0520,0.3206559,0.1690587,NA,NA,NA,nonessential,NA
b0525,1.255,0.1261071,18.705839999999998,5.5742130000000003,-0.016531420000000002,essential,ppiB-lpxH
b0526,1.099,0.1480399,13.324260000000001,4.8249219999999999,-0.0078626229999999991,essential,cysS
b0529,0.434,0.1947254,2.9968789999999998,1.3751199999999999,0.0082895599999999996,essential,folD-ybcJ
b0530,0.3176046,0.166572,NA,NA,NA,nonessential,NA
b0531,0.3311718,0.1689779,NA,NA,NA,nonessential,NA
b0536,0.42,0.1865529,2.8779720000000002,1.2550159999999999,-0.0045908160000000002,nonessential,NA
b0540,0.417,0.1893408,2.873068,1.277995,0.001518656,nonessential,NA
b0542,0.339396,0.1720206,NA,NA,NA,nonessential,NA
b0543,0.933,0.149319,9.054074,3.0130819999999998,-0.026228100000000001,nonessential,NA
b0544,0.3059156,0.1628422,NA,NA,NA,nonessential,NA
b0545,0.403,0.1870149,2.7697880000000001,1.1942759999999999,0.0034746209999999998,nonessential,NA
b0553,1.902,0.1264558,82.553200000000004,24.641369999999998,-0.00056591089999999996,nonessential,NA
b0557,1.332,0.1555512,22.816220000000001,8.7326850000000018,0.0094597429999999996,nonessential,NA
b0558,0.452,0.1959708,3.1071520000000001,1.3892819999999999,0.0039054929999999999,nonessential,NA
b0559,1.497,0.1379443,32.945320000000002,10.328950000000001,0.0006292162,nonessential,NA
b0560,0.3314998,0.1746839,NA,NA,NA,nonessential,NA
b0562,0.3459937,0.1793978,NA,NA,NA,nonessential,NA
b0563,0.743,0.1888537,6.0358489999999998,2.4308540000000001,-0.0090542520000000005,nonessential,NA
b0564,1.059,0.1885213,12.592840000000001,5.6238159999999997,0.027279069999999999,nonessential,NA
b0565,1.513,0.1184338,33.693460000000002,9.2905440000000006,-0.01219018,nonessential,NA
b0566,0.674,0.2013405,5.2231269999999999,2.2813910000000002,-0.00046499520000000002,nonessential,NA
b0569,0.393,0.1830302,2.6790530000000001,1.1381289999999999,-0.0012064440000000001,nonessential,NA
b0571,1.341,0.1325411,23.03003,6.890828,-0.0074879070000000002,nonessential,NA
b0572,0.826,0.1971115,7.4181600000000003,3.1477349999999999,0.01267714,nonessential,NA
b0576,0.864,0.1482807,7.6813390000000004,2.40449,-0.039213070000000003,nonessential,NA
b0577,0.921,0.1759003,9.0125570000000028,3.570719,0.0011916850000000001,nonessential,NA
b0578,0.843,0.1688054,7.4769079999999999,2.7554219999999998,-0.01834351,nonessential,NA
b0579,0.475,0.1976464,3.2880509999999998,1.472564,0.00148401,nonessential,NA
b0581,0.754,0.2235041,6.3935199999999996,3.1023320000000001,0.03895303,nonessential,NA
b0582,1.004,0.1536441,10.71583,3.6292719999999998,-0.01147018,nonessential,NA
b0583,0.3161103,0.1639334,NA,NA,NA,nonessential,NA
b0584,0.357,0.1841224,2.488734,1.1161700000000001,0.025819040000000001,nonessential,NA
b0585,0.849,0.187531,7.7062999999999997,3.1468319999999999,0.0050318940000000003,nonessential,NA
b0586,0.39,0.1844995,2.6753079999999998,1.1674249999999999,0.0030459380000000002,nonessential,NA
