TU,Prom_TU,Genes_TU,Bnb_TU,ECKnb_TU,Ess_ECKnb_TU,Ess_Gene_TU,Bnb_Promlib,Gene_Promlib
infA,infAp1,infA,b0884,ECK0875,ECK0875,infA,b0884,infA
infA,infAp2,infA,b0884,ECK0875,ECK0875,infA,b0884,infA
infA-serW,NA,serW;infA,b0883;b0884,ECK0874;ECK0875,ECK0875,infA,b0883;b0884,infA;serW
infC-rpmI-rplT,infCp2,rplT;rpmI;infC,b1716;b1717;b1718,ECK1714;ECK1715;ECK1716,ECK1714;ECK1716,infC;rplT,b1716;b1717,rpmI;rplT
ispB,NA,ispB,b3187,ECK3176,ECK3176,ispB,b3187,ispB
kdtA-coaD,waaAp1,waaA;coaD,b3633;b3634,ECK3623;ECK3624,ECK3623;ECK3624,coaD;waaA,b3633,waaA
leuS-lptE-holA-nadD-cobC,NA,leuS;lptE;holA;nadD;cobC,b0642;b0641;b0640;b0639;b0638,ECK0635;ECK0634;ECK0633;ECK0632;ECK0631,ECK0635;ECK0634;ECK0633;ECK0632,nadD;lptE;leuS;holA,b0642,leuS
lexA-dinF,lexAp,lexA;dinF,b4043;b4044,ECK4035;ECK4036,ECK4035,lexA,b4043,lexA
lgt,lgtp,lgt,b2828,ECK2824,ECK2824,lgt,b2828,lgt
lgt-thyA,lgtp,thyA;lgt,b2827;b2828,ECK2823;ECK2824,ECK2824,lgt,b2828,lgt
lolA-rarA,lolAp,rarA;lolA,b0892;b0891,ECK0883;ECK0882,ECK0882,lolA,b0891,lolA
lolB-ispE-prs,lolBp,prs;ispE;lolB,b1207;b1208;b1209,ECK1195;ECK1196;ECK1197,ECK1195;ECK1196;ECK1197,prs;lolB;ispE,b1209,lolB
lolCDE,NA,lolE;lolD;lolC,b1118;b1117;b1116,ECK1104;ECK1103;ECK1102,ECK1104;ECK1103;ECK1102,lolE;lolD;lolC,b1116,lolC
lpxC,lpxCp1,lpxC,b0096,ECK0097,ECK0097,lpxC,b0096,lpxC
lpxC,lpxCp2,lpxC,b0096,ECK0097,ECK0097,lpxC,b0096,lpxC
lsp-fkpB-ispH,lspAp,ispH;fkpB;lspA,b0029;b0028;b0027,ECK0030;ECK0029;ECK0028,ECK0030;ECK0028,lspA;ispH,b0028,fkpB
map-glnD-dapD,NA,map;glnD;dapD,b0168;b0167;b0166,ECK0166;ECK0165;ECK0164,ECK0166;ECK0164,map;dapD,b0168,map
metG,metGp1,metG,b2114,ECK2107,ECK2107,metG,b2114,metG
metG,metGp2,metG,b2114,ECK2107,ECK2107,metG,b2114,metG
metK,metKp2,metK,b2942,ECK2937,ECK2937,metK,b2942,metK
metK,metKp,metK,b2942,ECK2937,ECK2937,metK,b2942,metK
metY-yhbC-nusA-infB,metYp1,infB;nusA;rimP;metY,b3168;b3169;b3170;b3171,ECK3157;ECK3158;ECK3159;ECK3160,ECK3157;ECK3158,infB;nusA,b3170,rimP
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp,metYp1,pnp;rpsO;truB;rbfA;infB;nusA;rimP;metY,b3164;b3165;b3166;b3167;b3168;b3169;b3170;b3171,ECK3152;ECK3154;ECK3155;ECK3156;ECK3157;ECK3158;ECK3159;ECK3160,ECK3157;ECK3158,infB;nusA,b3164;b3165;b3167;b3170,rimP;rpsO;rbfA;pnp
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp,metYp2,pnp;rpsO;truB;rbfA;infB;nusA;rimP;metY,b3164;b3165;b3166;b3167;b3168;b3169;b3170;b3171,ECK3152;ECK3154;ECK3155;ECK3156;ECK3157;ECK3158;ECK3159;ECK3160,ECK3157;ECK3158,infB;nusA,b3164;b3165;b3167;b3170,rimP;rpsO;rbfA;pnp
