hours_grown1,hours_grown2,gene_downstream,fl_mean_log1,fl_mean_log2,fl_var_log1,fl_var_log2,cor_mean,cor_var
0h,1h,ycbW,7.388473803,7.424199795,0.187431075,0.181510148,0.998710269,0.978320822
0h,2h,ycbW,7.388473803,7.540493021,0.187431075,0.140725692,0.994700418,0.934124539
0h,3h,ycbW,7.388473803,7.531070409,0.187431075,0.152643111,0.991973013,0.914567858
0h,5h,ycbW,7.388473803,7.553166076,0.187431075,0.140883037,0.988534391,0.900022899
0h,6.5h,ycbW,7.388473803,7.670434623,0.187431075,0.135901957,0.985763124,0.905858719
0h,8.5h,ycbW,7.388473803,7.758105536,0.187431075,0.128261914,0.983992857,0.887850084
0h,10h,ycbW,7.388473803,7.714651597,0.187431075,0.130567548,0.984507283,0.862891515
0h,11h,ycbW,7.388473803,7.636835002,0.187431075,0.145240023,0.984816255,0.887479151
0h,1h,ycdN,6.816152847,7.104119867,0.311346859,0.236330824,0.998710269,0.978320822
0h,2h,ycdN,6.816152847,7.127631479,0.311346859,0.205090342,0.994700418,0.934124539
0h,3h,ycdN,6.816152847,7.088572334,0.311346859,0.201474366,0.991973013,0.914567858
0h,5h,ycdN,6.816152847,7.047401989,0.311346859,0.19223871,0.988534391,0.900022899
0h,6.5h,ycdN,6.816152847,7.120238782,0.311346859,0.184971266,0.985763124,0.905858719
0h,8.5h,ycdN,6.816152847,7.122193776,0.311346859,0.174202279,0.983992857,0.887850084
0h,10h,ycdN,6.816152847,7.056473198,0.311346859,0.186615694,0.984507283,0.862891515
0h,11h,ycdN,6.816152847,7.040735373,0.311346859,0.188833515,0.984816255,0.887479151
0h,1h,yagU,7.896592252,7.864088628,0.141858346,0.122551416,0.998710269,0.978320822
0h,2h,yagU,7.896592252,7.92427887,0.141858346,0.115006062,0.994700418,0.934124539
0h,3h,yagU,7.896592252,7.866057991,0.141858346,0.10601544,0.991973013,0.914567858
0h,5h,yagU,7.896592252,7.804914533,0.141858346,0.116055414,0.988534391,0.900022899
0h,6.5h,yagU,7.896592252,7.802822459,0.141858346,0.123550985,0.985763124,0.905858719
